iter	Logloss
310	0.3769663184
311	0.3762986505
312	0.3755099411
313	0.3749339736
314	0.3743028693
315	0.3738161092
316	0.3731804853
317	0.3726498225
318	0.3721018822
319	0.3715087409
320	0.3707814735
321	0.3699341235
322	0.3693695587
323	0.3688500964
324	0.3680230068
325	0.3673656816
326	0.3665754536
327	0.3656139918
328	0.3649733611
329	0.3644142255
330	0.3635896885
331	0.362849518
332	0.3623956494
333	0.3616151991
334	0.3610349583
335	0.3604038073
336	0.359791906
337	0.359218784
338	0.3587742707
339	0.358022156
340	0.3577047405
341	0.3569839493
342	0.3564149997
343	0.3560340975
344	0.3553154106
345	0.3547040095
346	0.354011318
347	0.3534459601
348	0.3527405703
349	0.351953224
350	0.3512196567
351	0.3504535789
352	0.3496266422
353	0.348726752
354	0.3480183456
355	0.3472809455
356	0.3465582573
357	0.3458708577
358	0.345213491
359	0.3445567307
360	0.3440609548
361	0.3434303221
362	0.3430186821
363	0.3423416148
364	0.3415859627
365	0.3411041265
366	0.3405355474
367	0.3399563173
368	0.3392939386
369	0.338671096
370	0.3378021613
371	0.3371655215
372	0.3366749546
373	0.3360279125
374	0.3354289324
375	0.3348407538
376	0.3341854318
377	0.333557769
378	0.3330352021
379	0.3324072879
380	0.331966338
381	0.3313240253
382	0.3309051187
383	0.3303014092
384	0.3297827684
385	0.3292043157
386	0.328738521
387	0.3282235783
388	0.3274996255
389	0.3270005247
390	0.3264832212
391	0.3258900202
392	0.3253418674
393	0.3246795146
394	0.3239362343
395	0.3234447759
396	0.322895558
397	0.3222560546
398	0.3218261911
399	0.3212881062
400	0.3207813786
401	0.3202061472
402	0.3195476532
403	0.3189911816
404	0.3183910639
405	0.3178639723
406	0.3172166166
407	0.3167111977
408	0.3162772604
409	0.3156644132
410	0.314844331
411	0.3144272592
412	0.3139261966
413	0.3134877345
414	0.3130233106
415	0.3125354129
416	0.3119685313
417	0.3112991737
418	0.3107982537
419	0.3101841263
420	0.3095903448
421	0.3091759785
422	0.3086648091
423	0.3083009564
424	0.3078232226
425	0.3074547519
426	0.3070413885
427	0.3063741663
428	0.3058719402
429	0.3052322579
430	0.3046546578
431	0.3042619151
432	0.303750826
433	0.3032937102
434	0.302734178
435	0.3021845455
436	0.3016403395
437	0.3012683521
438	0.3007264967
439	0.3001199494
440	0.2996300822
441	0.2990944075
442	0.29873311
443	0.2981991198
444	0.2977833074
445	0.297041652
446	0.2964749129
447	0.2958480431
448	0.2953261707
449	0.2949090626
450	0.294353993
451	0.2938982559
452	0.2933028055
453	0.2930222905
454	0.2924996718
455	0.2921436766
456	0.2918692724
457	0.2915299302
458	0.291107722
459	0.2905551506
460	0.2899939547
461	0.2894014846
462	0.2890941786
463	0.2886113084
464	0.2881735771
465	0.2875931781
466	0.2870817392
467	0.2865234199
468	0.2862293876
469	0.2858295026
470	0.2855438823
471	0.2851785007
472	0.2845637695
473	0.2839687337
474	0.2837019744
475	0.2833189291
476	0.2830214345
477	0.2826122667
478	0.2821347713
479	0.2817014456
480	0.2812833268
481	0.2809261861
482	0.2805633286
483	0.2799837589
484	0.2796254728
485	0.279204068
486	0.2787517309
487	0.2784258283
488	0.2779214797
489	0.2774635087
490	0.2771748564
491	0.276769524
492	0.2764675565
493	0.2760132448
494	0.2757033317
495	0.2751977962
496	0.2748364469
497	0.2744832091
498	0.2738952533
499	0.273514504
500	0.273131044
501	0.2724923621
502	0.2721435298
503	0.2716605715
504	0.2710556206
505	0.2705232475
506	0.2702172321
507	0.2697197976
508	0.2693472945
509	0.2688486369
510	0.2685337481
511	0.2682310706
512	0.2677259238
513	0.2672256335
514	0.2668468849
515	0.2665230295
516	0.2661510188
517	0.2658371977
518	0.2655254136
519	0.2648890848
520	0.2644112058
521	0.2638860526
522	0.2635340172
523	0.2631674279
524	0.2629312173
525	0.262458397
526	0.2620228114
527	0.2616731239
528	0.2612864246
529	0.2609564999
530	0.2606858533
531	0.2601868225
532	0.259854892
533	0.2595799436
534	0.2591861383
535	0.2588644598
536	0.258465741
537	0.258109383
538	0.2576737145
539	0.2571841427
540	0.2567332517
541	0.2564392297
542	0.2561679249
543	0.2556294099
544	0.2553641641
545	0.2549426504
546	0.2545485756
547	0.2540672707
548	0.2536722784
549	0.2532017386
550	0.2528162573
551	0.252384248
552	0.2520193017
553	0.2516574652
554	0.2512446746
555	0.2510005184
556	0.2504675285
557	0.250048316
558	0.249734863
559	0.2494350879
560	0.24913495
561	0.2487497589
562	0.2482457213
563	0.2479722189
564	0.2474912509
565	0.2471728221
566	0.2467378222
567	0.2462694697
568	0.2459313869
569	0.2454147339
570	0.2449416078
571	0.24445909
572	0.2441451498
573	0.2438129653
574	0.2434774274
575	0.2426106619
576	0.2421948029
577	0.2418230979
578	0.2414204141
579	0.2410596246
580	0.2405330202
581	0.2402443989
582	0.2397127411
583	0.2393896061
584	0.2390551101
585	0.2387900974
586	0.2384074823
587	0.2379987965
588	0.237692014
589	0.2372771761
590	0.2369998745
591	0.2367111652
592	0.2363389523
593	0.2359276751
594	0.2356607292
595	0.2352967055
596	0.2349561608
597	0.2346805023
598	0.2343059312
599	0.2340655897
600	0.2335878248
601	0.2331968546
602	0.2328297781
603	0.2324962098
604	0.2320435514
605	0.2317499233
606	0.231366142
607	0.2310622723
608	0.2307165965
609	0.2303826031
610	0.2301345234
611	0.2298466071
612	0.2294592235
613	0.2290253691
614	0.2287666694
615	0.2285649725
616	0.2282233031
617	0.2278730921
618	0.2276250124
619	0.2273810428
620	0.2270136968
621	0.2265826464
622	0.2263580923
623	0.2259351689
624	0.2254504432
625	0.225183969
626	0.2248601758
627	0.2246291741
628	0.2243311716
629	0.2240681545
630	0.223891647
631	0.2235772091
632	0.2230419802
633	0.2226705396
634	0.2223604555
635	0.2221131377
636	0.2218872672
637	0.2215862533
638	0.2212759153
639	0.2210230205
640	0.2207948851
641	0.2204246469
642	0.2201232288
643	0.2198633526
644	0.2194832356
645	0.2191856529
646	0.218952096
647	0.2186944848
648	0.2183955338
649	0.218113412
650	0.2178551788
651	0.2175140796
652	0.2172275885
653	0.2167565874
654	0.2164324263
655	0.2160312196
656	0.2157814917
657	0.2155126281
658	0.2152246496
659	0.2149074285
660	0.2146447275
661	0.2143288851
662	0.2141191026
663	0.2138440039
664	0.2136042533
665	0.2133533229
666	0.2130639916
667	0.2127398356
668	0.2124876872
669	0.2122671656
670	0.2119304149
671	0.2116101047
672	0.2113678196
673	0.2110575386
674	0.210706716
675	0.2103411478
676	0.210058658
677	0.2097916655
678	0.2095167844
679	0.2091938983
680	0.2088496219
681	0.2086731766
682	0.2083678142
683	0.2080055268
684	0.2077453188
685	0.2074020842
686	0.20712414
687	0.2068578834
688	0.2065747769
689	0.2062061818
690	0.2059397386
691	0.205498628
692	0.2051735909
693	0.2049022809
694	0.2045692413
695	0.2043156728
696	0.2039141603
697	0.2036848068
698	0.2033638591
699	0.2031032676
700	0.2028702705
701	0.2025780159
702	0.2023342796
703	0.2020638766
704	0.2017095763
705	0.2013776199
706	0.2010453162
707	0.2007704455
708	0.2005265899
709	0.200250947
710	0.2000011154
711	0.1995538525
712	0.1993464128
713	0.1991120421
714	0.1988512744
715	0.1985914915
716	0.1983201763
717	0.198080436
718	0.197799807
719	0.1974721888
720	0.197115074
721	0.1968726334
722	0.196591994
723	0.1963588777
724	0.1961076208
725	0.1959432001
726	0.1957209214
727	0.1955513643
728	0.1952474687
729	0.1949942267
730	0.1947568811
731	0.1944857473
732	0.1942333657
733	0.193943174
734	0.1937535587
735	0.1934980102
736	0.1932324275
737	0.1929893235
738	0.1927850713
739	0.1924979272
740	0.1922548025
741	0.1919807092
742	0.1918082185
743	0.1914469159
744	0.1911990176
745	0.190982321
746	0.1907298461
747	0.1904897431
748	0.1901875475
749	0.1899373739
750	0.1895843692
751	0.1893133029
752	0.1889729863
753	0.1887299444
754	0.1884904893
755	0.1881403819
756	0.1878248764
757	0.187586235
758	0.1873320082
759	0.1870971814
760	0.1869618115
761	0.1866804983
762	0.186464657
763	0.1862771874
764	0.1859336262
765	0.1857107515
766	0.1855348763
767	0.1852464002
768	0.1850138125
769	0.1848024234
770	0.1844927539
771	0.1842914561
772	0.184006976
773	0.1837818415
774	0.1834718818
775	0.1831933934
776	0.1829429813
777	0.1826466115
778	0.1824888613
779	0.1822277256
780	0.1819442666
781	0.1816752579
782	0.1814697981
783	0.1811512709
784	0.1809306041
785	0.180683789
786	0.1803621106
787	0.1801615746
788	0.1799514138
789	0.1796392721
790	0.1794131994
791	0.1791769059
792	0.1789423797
793	0.1787685674
794	0.1784742189
795	0.1782807941
796	0.1780670726
797	0.1778709888
798	0.1776845662
799	0.177475893
800	0.1772350228
801	0.1769603957
802	0.1766477512
803	0.1764803762
804	0.1763299652
805	0.1760930186
806	0.1758998892
807	0.1756978968
808	0.1755035753
809	0.1753048949
810	0.1750780551
811	0.1748579067
812	0.1746592729
813	0.1744273694
814	0.1742371891
815	0.1740237578
816	0.1738389368
817	0.1736223128
818	0.1733622344
819	0.1731615792
820	0.1728964992
821	0.1726445582
822	0.1723584973
823	0.1721185446
824	0.1718637373
825	0.1716448535
826	0.1714923796
827	0.1712637621
828	0.171030029
829	0.170823092
830	0.170590919
831	0.1702415839
832	0.1700021288
833	0.1697638605
834	0.1694750889
835	0.1693644679
836	0.1692380905
837	0.1690129301
838	0.1688261602
839	0.1685864459
840	0.1684089381
841	0.1682663379
842	0.1680910743
843	0.1678897039
844	0.1676085358
845	0.167451589
846	0.1671906554
847	0.1669759491
848	0.1667926001
849	0.1664887615
850	0.1662471243
851	0.1660177656
852	0.1658401437
853	0.1655912399
854	0.1654097878
855	0.1651876076
856	0.1650171591
857	0.1647799792
858	0.1646366845
859	0.1644004739
860	0.1641728567
861	0.1639381181
862	0.1636958692
863	0.1634697344
864	0.1633439375
865	0.163212968
866	0.1630585608
867	0.1628550239
868	0.1626029429
869	0.1623861116
870	0.1621697519
871	0.1619609905
872	0.161699492
873	0.1614976396
874	0.1612678559
875	0.1610616394
876	0.1608469849
877	0.1606394571
878	0.1604401495
879	0.1602737696
880	0.1601226952
881	0.1599746632
882	0.1598196185
883	0.1596453086
884	0.1594315042
885	0.1591730895
886	0.1589571082
887	0.1587505133
888	0.1585430632
889	0.1583216087
890	0.1581277225
891	0.1579472811
892	0.1576953556
893	0.1574693452
894	0.1572729764
895	0.1570577207
896	0.1569348833
897	0.1567853689
898	0.1565759545
899	0.1564409318
900	0.1562264639
901	0.1560868543
902	0.1558546035
903	0.1556681965
904	0.1555190864
905	0.1553233706
906	0.1550479143
907	0.1548026334
908	0.1545365997
909	0.1543759574
910	0.1541738458
911	0.1540135042
912	0.1538322957
913	0.1536247056
914	0.1534656649
915	0.1533021668
916	0.1531491331
917	0.1529357796
918	0.1526968997
919	0.1525687083
920	0.1524115127
921	0.1522861253
922	0.1521468733
923	0.1519469697
924	0.1517349222
925	0.1515016089
926	0.1512835078
927	0.1511322156
928	0.1508744748
929	0.1506671335
930	0.1505072117
931	0.1502615991
932	0.1500356094
933	0.1498587598
934	0.1496888503
935	0.149493062
936	0.1493128123
937	0.149130956
938	0.148984738
939	0.1487647917
940	0.1486093169
941	0.1484951558
942	0.1482902713
943	0.148148262
944	0.1479990638
945	0.1478799685
946	0.1477256443
947	0.1475207754
948	0.1473815389
949	0.147173301
950	0.1470385168
951	0.1468444285
952	0.1466971169
953	0.1464843024
954	0.1463180729
955	0.1461890262
956	0.1459667268
957	0.1457944435
958	0.1456682941
959	0.1454700491
960	0.1453111897
961	0.1451206259
962	0.14491032
963	0.144783953
964	0.1446464321
965	0.1444077906
966	0.1442459252
967	0.1440889473
968	0.1439148965
969	0.1436750163
970	0.1435285548
971	0.143293246
972	0.1430976961
973	0.1429184572
974	0.1427835589
975	0.1425818827
976	0.1423630714
977	0.142173197
978	0.1420812866
979	0.141950882
980	0.1417711921
981	0.1416323392
982	0.1414523643
983	0.1413114175
984	0.1411847757
985	0.1410069155
986	0.1408503367
987	0.1406906791
988	0.1405035568
989	0.1403949209
990	0.1402130853
991	0.1400430565
992	0.1398804602
993	0.1396557922
994	0.1395148246
995	0.1392957076
996	0.1391674073
997	0.1390100147
998	0.1388527259
999	0.1386679515
